,cate,product,cost,review_star,review,tag
0,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"Okay, look. I am 27 years old. I have been wearing mascara for a long time. Probably fifteen years or something. I have short, straight lashes that get tangled together, and the top ones tangle into the bottom ones. I have tried everything short of super high end mascara because I am CHEAP and I don't want to waste money on it if it's going to be something else that doesn't work. I can't use the plastic wands because they do nothing for my aforementioned wonky lashes. It quite literally looks like I haven't bothered putting anything on. So when this when on sale on Prime Day and my mom recommended it, I figured I might as well give it a shot. I had nothing to lose except a few dollars because I had no hope left.

Well, butter my buns and call me a biscuit, because I was so pleasantly surprised by this mascara. It separates my lashes where they tangle without getting all over my lid, which is another problem I run into. It doesn't smudge easily and doesn't run in the rain or when I sweat or get teary (I live in Alabama and I am a weepy gal, so you can imagine this is a huge feat). My lashes look, well, like they exist after one coat, and with two or three, they're separated, not clumpy, thick, and long. Like I said, I've used dozens of mascaras at various price points, and I really think this is the best one.

I do recommend using the primer that goes with it if you have shorter, thinner, or blonder lashes like mine. It's good alone, but I definitely see a difference using it together. It's one of the better primers I've used as well. It dries quickly, but doesn't get so crunchy you can't put mascara on top easily, and again, doesn't make my lashes tangled, which is just such a huge deal for me, I truly cannot express to you.

If you're on the fence, get it. It's absolutely worth the price, and might be the best one you've tried!",positive
1,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,4,"I came across these two and wondered which one was best.. so I ordered both Essence 'False Lash Effect' & Essence 'Curl & Volume' mascara and compared the two. They actually had similar results. Neither seemed to smudge or clump. The brushes of each were different though. The brush of this one seemed to really separate & lengthen each lash but it took two coats of this one to achieve almost the same result as the 'Curl & Volume' mascara one coat. So I prefer the Curl & Volume one.. It seemed to go on alot quicker for me and I liked the thicker brush of it better too👍But that is just my preference...☺

I like that these mascaras arrive in factory sealed plastic ensuring they are unused. This mascara is not waterproof and I noticed that a little more was involved in removing it than other mascaras.
They do offer a waterproof mascara for any who may need it.
I read that this mascara does not need a primer for those who use primers.
They are labeled as vegan.. but one of the ingredients is beeswax for those who want to know. Here's a full list of ingredients...

Ingredients: Aqua (Water), Cera Alba (Beeswax), Paraffin, Glyceryl Stearate, Oryza Sativa (Rice) Bran Wax, Butylene Glycol, Palmitic Acid, Acacia Senegal Gum, Polybutene, Aminomethyl Propanol, Stearic Acid, Carnauba (Copernicia Cerifera) Wax, VP / Eicosene Copolymer, Dimethicone, Polyester-4, Ethylhexylglycerin, Tocopherol, Hydroxyethylcellulose, Phenoxyethanol, Potassium Sorbate, CI 77499 (Iron Oxides)

Overall, I prefer the Essence 'Curl & Volume' but this one works great too just took longer as it required 2 coats for me. Also, remember it takes a little more effort to remove. Besides that I'd say it's a good mascara for the money.

UPDATE:(8/2/22) Since both of these mascaras were harder for me to remove than my previous ones and it felt like an oily film was left on my face, I have went back to using my other mascara that is a more natural brand one😁 While I still think these are good quality mascaras, I just needed something easier and that didn't leave the oily residue feeling on my skin.. but if you have a good quality eye makeup remover then you will probably LOVE this mascara👍
Hope this review helps you🤗☺",positive
2,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I love the Essence Lash Princess False Lash Effects mascara. It’s wonderful! Prior to trying this brand I was a committed Maybelline fan, having tried and used religiously all of their mascara formulas. I even did a short run in using designer brands like Diorshow Blackout (before they changed the formula) .But since trying Essence lash, for about a year now, I am sold on both the quality and price. You’ll love the thickness of the formula which allows you to get fullness and length without having to layer coat after coat. In addition the brush is great which makes application smooth. I won’t be going back since finding this “gem.” Try it you won’t be disappointed. It’s very few times these days when you can get a quality product for a reasonable price.",positive
3,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I bought this on a whim after seeing my influencer friend post about it. It was only a couple of bucks so I thought “why not?”

Totally blown away. It’s been the best mascara I’ve used in years and I’ve only bought high end, overpriced, overhyped mascara since 2015. This one has completely taken over their space in my makeup bag and I’ll be ordering again and again.

Only downside is how NOT water proof it is, but like whatever. Just buy the waterproof version for a couple more bucks to keep with it in case you feel like crying in the bathroom at work that day. (Guilty)

Just buy the thing, it’s only a few bucks, if you hate it (you won’t) oh well. But chances are you’ll be replacing your Sephora special for this one in no time.",positive
4,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I've been attempting to find mascara that doesn't clump or flake and had tried at least a dozen from several drugstore brands. Based on all the positive reviews I read about this product and its very reasonable price, I had to try it. I'm quite impressed with how well it goes on without clumping, that it doesn't flake and is easy to take off with my usual makeup remover towelettes.

I know my lashes are long when I look up and they touch above my eyelid. It took three coats of this mascara to get them that long, but it works!

I highly recommend you try this product!",positive
5,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I have very blonde, straight lashes. They aren’t super short but they aren’t very voluminous. I bought this and the lash primer. I use my eyelash curler first, then a coat of the primer and then two coats of the mascara and it makes my eyelashes so long! It gives them volume and the curl stays all day. My eyelashes look so good and for the price you can’t beat it! I also love Benefit Bang mascara but it is pricey so I thought I would give it a try. So far, I am loving it!
It is not flakey, no clumps. The wand is a nice shape and size and easy to use. It comes off with cleanser or micellar water very easily, no tugging or pulling on lashes.
Give it a try and see how you like it. I was not disappointed and I am very picky about mascara.",positive
6,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,4,This mascara used to be a 10 out of 10 and for the price Whopper!!! The last three tubes I have bought are not as wet as they used to be and even dry clumps come out when I first buy it. I am very disappointed if they change this formula!!! It was much better the original way it was processed I could get incredible length and thickness and now it's limited with the dryness of the tube. I hope they go back to the original formula making it nice and wet the way it should be! If it's not broken don't fix it!,positive
7,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I see what the hype is about, FOR SURE! Is it my favorite? It's one of them for sure! Excellent product! What sells me, is finally a good priced mascara that is NOT junk. It goes on smooth, no flake, and added a ton of length/volume to my pretty badly beat down lashes from constant falsie wear. The amount you get is good for the price, so you can not go wrong buying all 3 kinds they offer for sure and use it as a staple every day mascara. Did not flake..however ONLY flaw I found so far...washes off too easy, like I don't know where it's going but at the end of the night...it's gone on the bottom lashes pretty much but no black smudge or flake so It's a mystery LOL",positive
8,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,This is the first review I’ve ever made because I am in shock!! & Excuse my no-makeup face! My eyelashes are blonde and tiny…. And I used this just now after hearing about it … and I am in shock at my eyelashes! It is so light to put on! It’s so easy and the brush strokes every single eyelash perfectly and it doesn’t get all over my eyelid while doing it. I’ve never ever seen my eyelashes this long before! 10/10 recommend! You won’t regret this purchase! And the price??? Amazingggg! Never using anything else from now on!,positive
9,Beauty & Personal Care,essence | Lash Princess False Effect Mascara Gluten & Cruelty Free Pack of 3,$4.42 - $17.98,5,"I'm on my 3rd tube I of this product for a reason. My lashes are very sparse and shorter now after chemo several times and I was becoming frustrated. I'm lousy at applying false lashes so I've been looking for a mascara alternative. This fits the bill in every way. Yes, there is a learning curve - less is more with this product and you need to practice your technique. I scrape off most of the excess when removing the brush from the tube and slowly wiggle the brush back and forth from the base of my lashes upward and outward to apply to avoid the clumping that I've seen in some users photos. You can also apply a second coat to lengthen your lashes a bit more for a more dramatic evening look. The result is amazing. If you find your lashes sticking together a bit, just separate them with a dry spoolie tool using the same wiggling technique. My son's girlfriend thought I had extensions or was wearing false lashes! I've recommended this product to many people and everyone is thrilled with the result. Yes, it's black mascara but it's not an inky black so they do look more natural.",positive
10,Beauty & Personal Care,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",$12.99,4,"I've been using these patches on and off for the past year and finally feel comfortable with leaving a positive review. Every month I get a few painful scattered pimples on my face and neck and back. The patch is probably most helpful in stopping my urge to pick at the pimple. But after wearing a patch after 8 hours it does seem to draw out some pus/. Sometimes I don't notice anything after the first patch but usually the next patch will draw out some pus if the first one didn't.

I have used several other Hero patches and unfortunately did not find any of the other ones to be helpful. Specifically I used the Micropoint Patch for Dark Spots (purple box) and all of my spots are still dark. The Micropoint for Blemishes (green box) doesn't seem to help any more than the regular Hero patches, and I don't like the prickly feeling though it goes away after a few seconds. The long rectangular Mighty Patch Surface (orange box) is toobig and peeling it of feels uncomfortable like peeling off a bandaid. Made the mistake of putting large patch on my neck and was nervous about my neck skin getting stretched out when I peeling it off.",positive
11,Beauty & Personal Care,"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",$12.99,5,"I am 33 and suddenly getting adult acne on my jaw line after getting off birth control. Cruel fate lol. It's all on my chin and it's cystic, deep blemishes. I tried these patches after being extremely disappointed with the Peach Slices Microdart ones. They were $1 per patch and a complete waste of $$$.

Then the Hero Patch came along. These are so worth the money it isn't even funny. They aren't making some of my angry cystic pimples disappear overnight, but they're SIGNIFICANTLY reducing the size, redness and duration of my monthly experience. I have popped them on burgeoning breakouts with great results. They're not advertised for the kind of acne I specifically have but they are pretty dang good at treating it!

I even put a couple patches on a cystic pimple that just never healed properly under my skin and they're healing that, too.

Thankful a f for these.",positive
